open,high,low,close,Volume BTC,Volume USDT,sentiment,group,Date,time_idx
46395.14,46508.29,46262.01,46265.09,479.63753,22254297.36,0.666666667,BTC,2021/9/10 00:00,38265
46512.15,46643.47,46285.96,46395.14,932.82569,43345424.52,0.666666667,BTC,2021/9/9 23:00,38264
46484.21,46567.73,46266.71,46512.15,1029.25193,47773912.45,0.658333333,BTC,2021/9/9 22:00,38263
46252.35,46486.66,46206.77,46484.22,1094.06588,50738101.31,0.658333333,BTC,2021/9/9 21:00,38262
46567.2,46646.56,46051.21,46252.36,2000.79739,92685097.64,0.438888889,BTC,2021/9/9 20:00,38261
46632.41,46719.99,46487.66,46574.75,1420.22597,66180121.3,0.438888889,BTC,2021/9/9 19:00,38260
46766.31,46828.05,46460.87,46632.42,2270.31125,105909438.5,0.438888889,BTC,2021/9/9 18:00,38259
47202.76,47263.37,46751.07,46766.32,1907.06244,89630288.36,0.438888889,BTC,2021/9/9 17:00,38258
47001.65,47399.97,46844.62,47202.76,2173.08872,102317807.4,0.438888889,BTC,2021/9/9 16:00,38257
46931.78,47044.31,46690.04,47001.65,1846.13244,86568789.48,0.438888889,BTC,2021/9/9 15:00,38256
46875.97,47180.0,46872.8,46931.78,2239.01602,105296107.1,0.438888889,BTC,2021/9/9 14:00,38255
46670.71,47240.68,46654.03,46875.98,5060.29301,237915219.1,0.438888889,BTC,2021/9/9 13:00,38254
46293.15,46850.0,45599.0,46670.7,5376.08108,248274324.9,0.438888889,BTC,2021/9/9 12:00,38253
46153.0,46414.14,46070.8,46293.15,1675.07936,77549696.89,0.438888889,BTC,2021/9/9 11:00,38252
46160.88,46183.09,45888.38,46153.01,2457.00693,113150919.2,0.438888889,BTC,2021/9/9 10:00,38251
46272.07,46394.4,46111.11,46160.88,1716.49456,79437967.23,0.438888889,BTC,2021/9/9 09:00,38250
46275.01,46560.0,46159.01,46272.06,2696.73561,125074850.9,0.438888889,BTC,2021/9/9 08:00,38249
46146.44,46313.82,45883.42,46275.0,1712.27781,78987720.96,0.438888889,BTC,2021/9/9 07:00,38248
46304.45,46358.4,46030.82,46146.44,1364.3252,63013154.08,0.438888889,BTC,2021/9/9 06:00,38247
46165.23,46338.41,46008.29,46304.44,1457.20474,67338342.97,0.438888889,BTC,2021/9/9 05:00,38246
46001.16,46320.1,45922.53,46165.24,1617.96589,74664374.0,0.438888889,BTC,2021/9/9 04:00,38245
45739.97,46087.3,45513.08,46001.11,2009.47151,92217527.99,0.438888889,BTC,2021/9/9 03:00,38244
46099.7,46265.26,45701.0,45739.96,1938.23166,89129804.78,0.438888889,BTC,2021/9/9 02:00,38243
46339.62,46349.02,45892.03,46097.58,1717.61954,79147674.45,0.438888889,BTC,2021/9/9 01:00,38242
46048.31,46374.23,45858.36,46339.63,2940.09539,135516318.0,0.438888889,BTC,2021/9/9 00:00,38241
46596.71,46678.31,45960.0,46048.31,2176.47837,100669067.6,0.438888889,BTC,2021/9/8 23:00,38240
